date,ticker,weight_change,price,tc_cost
2022-01-07,AMZN,0.0604,162.5540008544922,4e-05
2022-01-07,NVDA,0.0634,27.192846298217773,4.2e-05
2022-01-07,TSLA,0.0626,342.32000732421875,4.1e-05
2022-01-07,BRK-B,0.0634,319.7799987792969,4.2e-05
2022-01-07,UNH,0.0626,425.34552001953125,4.1e-05
2022-01-07,MA,0.0634,360.4048767089844,4.2e-05
2022-01-07,MRK,0.0626,70.47940826416016,4.1e-05
2022-01-07,PFE,0.0626,44.620967864990234,4.1e-05
2022-01-14,AMZN,0.0063,162.13800048828125,0.0
2022-01-14,NVDA,0.0066,26.88845443725586,0.0
2022-01-14,TSLA,0.0065,349.8699951171875,0.0
2022-01-14,BRK-B,0.0066,324.1300048828125,0.0
2022-01-14,UNH,0.0065,434.703857421875,0.0
2022-01-14,MA,0.0066,362.8326721191406,0.0
2022-01-14,MRK,0.0065,71.42732238769531,0.0
2022-01-14,PFE,0.0065,44.00435256958008,0.0
2022-01-21,AMZN,-0.0079,142.64300537109375,1e-06
2022-01-21,NVDA,-0.0083,23.327543258666992,1e-06
2022-01-21,TSLA,-0.0082,314.6333312988281,1e-06
2022-01-21,BRK-B,-0.0083,305.2200012207031,1e-06
2022-01-21,UNH,-0.0082,427.7292175292969,1e-06
2022-01-21,MA,-0.0083,346.19921875,1e-06
2022-01-21,MRK,-0.0082,70.19853210449219,1e-06
2022-01-21,PFE,-0.0082,42.27460479736328,1e-06
2022-01-28,AMZN,-0.0043,143.97799682617188,0.0
2022-01-28,NVDA,-0.0045,22.794607162475586,0.0
2022-01-28,TSLA,-0.0045,282.1166687011719,0.0
2022-01-28,BRK-B,-0.0045,312.8999938964844,0.0
2022-01-28,UNH,-0.0045,432.2646179199219,0.0
2022-01-28,MA,-0.0045,372.9433288574219,0.0
2022-01-28,MRK,-0.0045,71.00601959228516,0.0
2022-01-28,PFE,-0.0045,43.83864212036133,0.0
2022-02-04,AMZN,-0.0065,157.63949584960938,0.0
2022-02-04,NVDA,-0.0068,24.270668029785156,0.0
2022-02-04,TSLA,-0.0067,307.7733459472656,0.0
2022-02-04,BRK-B,-0.0068,314.989990234375,0.0
2022-02-04,UNH,-0.0067,448.13385009765625,0.0
2022-02-04,MA,-0.0068,372.64105224609375,0.0
2022-02-04,MRK,-0.0067,68.95220184326172,0.0
2022-02-04,PFE,-0.0067,42.765464782714844,0.0
2022-02-11,AMZN,-0.0027,153.2935028076172,0.0
2022-02-11,NVDA,-0.0028,23.901405334472656,0.0
2022-02-11,TSLA,-0.0028,286.6666564941406,0.0
2022-02-11,BRK-B,-0.0028,319.1400146484375,0.0
2022-02-11,UNH,-0.0028,443.4593200683594,0.0
2022-02-11,MA,-0.0028,360.5220031738281,0.0
2022-02-11,MRK,-0.0028,67.26700592041016,0.0
2022-02-11,PFE,-0.0028,40.974159240722656,0.0
2022-02-18,AMZN,-0.0027,152.60150146484375,0.0
2022-02-18,NVDA,-0.0029,23.595014572143555,0.0
2022-02-18,TSLA,-0.0028,285.6600036621094,0.0
2022-02-18,BRK-B,-0.0029,314.79998779296875,0.0
2022-02-18,UNH,-0.0028,433.8876647949219,0.0
2022-02-18,MA,-0.0029,360.69744873046875,0.0
2022-02-18,MRK,-0.0028,67.030029296875,0.0
2022-02-18,PFE,-0.0028,39.15864181518555,0.0
2022-03-04,AMZN,0.0443,145.64100646972656,2.1e-05
2022-03-04,NVDA,0.0464,22.894317626953125,2.3e-05
2022-03-04,TSLA,0.0459,279.42999267578125,2.2e-05
2022-03-04,BRK-B,0.0464,325.3399963378906,2.3e-05
2022-03-04,UNH,0.0459,462.4914245605469,2.2e-05
2022-03-04,MA,0.0464,322.4875793457031,2.3e-05
2022-03-04,MRK,0.0459,68.3115005493164,2.2e-05
2022-03-04,PFE,0.0459,39.25547409057617,2.2e-05
2022-03-11,AMZN,-0.0036,145.52450561523438,0.0
2022-03-11,NVDA,-0.0038,22.05984115600586,0.0
2022-03-11,TSLA,-0.0038,265.1166687011719,0.0
2022-03-11,BRK-B,-0.0038,326.6000061035156,0.0
2022-03-11,UNH,-0.0038,449.180908203125,0.0
2022-03-11,MA,-0.0038,316.6669616699219,0.0
2022-03-11,MRK,-0.0038,68.68888854980469,0.0
2022-03-11,PFE,-0.0038,40.562644958496094,0.0
2022-03-18,AMZN,-0.0021,161.25050354003906,0.0
2022-03-18,NVDA,-0.0022,26.404924392700195,0.0
2022-03-18,TSLA,-0.0022,301.7966613769531,0.0
2022-03-18,BRK-B,-0.0022,342.4100036621094,0.0
2022-03-18,UNH,-0.0022,470.808837890625,0.0
2022-03-18,MA,-0.0022,341.33416748046875,0.0
2022-03-18,MRK,-0.0022,70.05257415771484,0.0
2022-03-18,PFE,-0.0022,43.98387908935547,0.0
2022-03-25,AMZN,0.0058,164.77349853515625,0.0
2022-03-25,NVDA,0.0061,27.64167022705078,0.0
2022-03-25,TSLA,0.006,336.8800048828125,0.0
2022-03-25,BRK-B,0.0061,358.760009765625,0.0
2022-03-25,UNH,0.006,477.23675537109375,0.0
2022-03-25,MA,0.0061,340.2908935546875,0.0
2022-03-25,MRK,0.006,72.02726745605469,0.0
2022-03-25,PFE,0.006,42.587947845458984,0.0
2022-04-01,AMZN,0.0029,163.55999755859375,0.0
2022-04-01,NVDA,0.003,26.663454055786133,0.0
2022-04-01,TSLA,0.003,361.5299987792969,0.0
2022-04-01,BRK-B,0.003,351.8800048828125,0.0
2022-04-01,UNH,0.003,476.8274230957031,0.0
2022-04-01,MA,0.003,354.86700439453125,0.0
2022-04-01,MRK,0.003,73.9576644897461,0.0
2022-04-01,PFE,0.003,41.611610412597656,0.0
2022-04-08,AMZN,0.0103,154.4604949951172,1e-06
2022-04-08,NVDA,0.0108,23.076984405517578,1e-06
2022-04-08,TSLA,0.0106,341.8299865722656,1e-06
2022-04-08,BRK-B,0.0108,353.1000061035156,1e-06
2022-04-08,UNH,0.0106,507.86920166015625,1e-06
2022-04-08,MA,0.0108,343.936279296875,1e-06
2022-04-08,MRK,0.0106,77.64136505126953,1e-06
2022-04-08,PFE,0.0106,44.51643371582031,1e-06
2022-04-22,AMZN,-0.0004,144.35000610351562,0.0
2022-04-22,NVDA,-0.0004,19.47953224182129,0.0
2022-04-22,TSLA,-0.0004,335.01666259765625,0.0
2022-04-22,BRK-B,-0.0004,335.55999755859375,0.0
2022-04-22,UNH,-0.0004,484.5948486328125,0.0
2022-04-22,MA,-0.0004,342.8721008300781,0.0
2022-04-22,MRK,-0.0004,74.90515899658203,0.0
2022-04-22,PFE,-0.0004,38.83588790893555,0.0
2022-07-15,AMZN,0.0408,113.55000305175781,1.8e-05
2022-07-15,NVDA,0.0428,15.736681938171387,1.9e-05
2022-07-15,TSLA,0.0423,240.06666564941406,1.9e-05
2022-07-15,BRK-B,0.0428,278.4800109863281,1.9e-05
2022-07-15,UNH,0.0423,494.5475769042969,1.9e-05
2022-07-15,MA,0.0428,325.20001220703125,1.9e-05
2022-07-15,MRK,0.0423,84.77607727050781,1.9e-05
2022-07-15,PFE,0.0423,42.097373962402344,1.9e-05
2022-07-22,AMZN,0.0099,122.41999816894531,1e-06
2022-07-22,NVDA,0.0104,17.291179656982422,1e-06
2022-07-22,TSLA,0.0103,272.24334716796875,1e-06
2022-07-22,BRK-B,0.0104,285.92999267578125,1e-06
2022-07-22,UNH,0.0103,486.76171875,1e-06
2022-07-22,MA,0.0104,336.2594299316406,1e-06
2022-07-22,MRK,0.0103,80.44619750976562,1e-06
2022-07-22,PFE,0.0103,41.67436981201172,1e-06
2022-07-29,AMZN,0.0057,134.9499969482422,0.0
2022-07-29,NVDA,0.006,18.13382339477539,0.0
2022-07-29,TSLA,0.0059,297.1499938964844,0.0
2022-07-29,BRK-B,0.006,300.6000061035156,0.0
2022-07-29,UNH,0.0059,506.3010559082031,0.0
2022-07-29,MA,0.006,345.9497985839844,0.0
2022-07-29,MRK,0.0059,79.75877380371094,0.0
2022-07-29,PFE,0.0059,41.407493591308594,0.0
2022-08-05,AMZN,-0.0004,140.8000030517578,0.0
2022-08-05,NVDA,-0.0004,18.95849609375,0.0
2022-08-05,TSLA,-0.0004,288.1700134277344,0.0
2022-08-05,BRK-B,-0.0004,292.07000732421875,0.0
