date,nav,daily_ret,drawdown,max_dd,var_95,cvar_95,realised_vol,gross_exp,net_exp,halt
2021-01-04,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-05,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-06,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-07,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-08,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-11,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-12,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-13,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-14,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-15,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-19,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-20,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-21,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-22,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-25,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-26,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-27,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-28,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-01-29,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-02-01,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-02-02,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2021-02-03,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-04,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-05,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-08,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-09,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-10,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-11,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-12,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-16,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-17,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-18,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-19,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-22,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-23,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-24,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-25,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-02-26,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-01,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-02,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-03,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-04,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-05,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-08,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-09,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-10,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-11,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-12,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-15,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-16,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-17,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-18,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-19,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-22,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-23,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-24,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-25,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-26,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-29,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-30,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-03-31,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-01,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-05,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-06,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-07,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-08,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-09,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-12,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-13,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-14,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
2021-04-15,1000000.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,False
